Escherichia coli
Gaeumannomyces graminis
Indigofera tinctoria
Nerium oleander
Muscodor albus
Kaempferia parviflora
Inula japonica
Polygala japonica
Viola tricolor
Fusarium venenatum
Myceliophthora thermophila
Bacillus safensis
Haemonchus contortus
Medicago truncatula
Mortierella zychae
Allium victorialis
Taxillus chinensis
Mycobacterium intracellulare
Umbilicaria esculenta
Petasites tatewakianus
Opuntia dillenii
Cynanchum auriculatum
Oplegnathus fasciatus
Spodoptera littoralis
Acipenser sinensis
Piper sarmentosum
Mortierella indohii
Artemisia stelleriana
Pimpinella anisum
Caesalpinia minax
Juniperus communis
Nasturtium officinale
Iris tectorum
Achnatherum inebrians
Arisaema heterophyllum
Allium chinense
Papaver rhoeas
Tripterygium hypoglaucum
Penaeus japonicus
Thuja occidentalis
Commiphora mukul
Agrimonia eupatoria
Alternanthera sessilis
Tropaeolum majus
Bacteroides thetaiotaomicron
Eupatorium japonicum
Streptomyces lydicus
Sogatella furcifera
Stemona japonica
Cymbidium sinense
Mucor racemosus
Poa annua
